id,position,form,team,price,pp_million,pp_mil_per_90,total_points,gw_points,minutes,bonus,goals_scored,assists,goals_conceded,own_goals,clean_sheets,saves,yellow_cards,red_cards,value_form,points_per_game,selected_by_percent,element_type,Name,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,9_xPts,10_xPts,11_xPts,12_xPts,13_xPts,total_xP,total_xM
1,Defender,0.0,Arsenal,4.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,2,Cedric,4.59,2.13,1.32,0.0,2.84,0.26,0.12,0.09,0.0,0.18,0.6499999999999999,10.879999999999999
3,Midfielder,5.3,Arsenal,5.1,7.8,0.9790794979079497,40,9,717,4,2,3,8,0,3,0,2,0,1.0,5.0,3.2,3,Xhaka,82.01,84.55,84.55,0.0,84.55,2.57,2.44,2.91,0.0,2.85,10.77,335.66
4,Midfielder,0.0,Arsenal,4.3,0.5,0.5,2,0,90,0,0,0,1,0,0,0,0,0,0.0,2.0,0.7,3,Elneny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Defender,0.0,Arsenal,4.2,0.5,15.0,2,0,3,0,0,0,0,0,0,0,0,0,0.0,1.0,0.1,2,Holding,3.06,3.16,3.16,0.0,3.16,0.27,0.27,0.28,0.0,0.29,1.11,12.540000000000001
6,Midfielder,4.3,Arsenal,4.8,4.4,0.9451073985680191,21,10,419,3,1,0,3,0,3,0,0,0,0.9,4.2,0.3,3,Partey,65.47,67.5,82.14,0.0,82.14,2.26,2.14,3.14,0.0,3.05,10.59,297.25
7,Midfielder,1.3,Arsenal,6.5,5.5,0.8608695652173912,36,2,575,6,3,0,7,0,2,0,1,0,0.2,5.1,15.1,3,Odegaard,76.29,78.65,78.65,0.0,78.65,3.47,3.16,4.24,0.0,4.07,14.940000000000001,312.24
8,Defender,2.3,Arsenal,4.8,2.9,0.9354838709677419,14,1,279,0,0,0,2,0,1,0,0,0,0.5,2.0,0.9,2,Tierney,24.51,26.84,19.74,0.0,29.47,1.42,1.43,1.33,0.0,1.56,5.74,100.56
10,Defender,4.0,Arsenal,4.5,7.6,1.062111801242236,34,5,644,3,0,1,7,0,4,0,2,0,0.9,4.2,5.5,2,B White,70.83,73.02,73.02,0.0,73.02,2.6,2.33,2.85,0.0,2.92,10.7,289.89
11,Forward,1.0,Arsenal,6.6,1.2,1.1020408163265305,8,1,98,0,0,0,1,0,0,0,0,0,0.2,1.0,0.3,4,Nketiah,24.81,25.58,24.63,0.0,23.36,1.77,1.68,2.04,0.0,1.9,7.390000000000001,98.38
12,Midfielder,0.3,Arsenal,5.6,0.7,1.3404255319148934,4,0,47,0,0,0,1,0,0,0,0,0,0.1,1.0,0.5,3,Smith Rowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Midfielder,6.0,Arsenal,7.8,5.0,0.6364922206506365,39,2,707,1,1,5,8,0,3,0,1,0,0.8,4.9,11.6,3,Saka,77.98,80.4,80.4,0.0,80.4,3.99,3.63,4.87,0.0,4.65,17.14,319.18
14,Defender,1.0,Arsenal,4.2,1.4,1.75,6,1,72,0,0,0,1,0,0,0,1,0,0.2,0.9,0.7,2,Tomiyasu,26.04,26.84,26.84,0.0,26.84,1.43,1.36,1.55,0.0,1.57,5.91,106.56
15,Goalkeeper,3.3,Arsenal,4.9,5.5,0.6875,27,2,720,0,0,0,8,0,3,15,0,0,0.7,3.4,10.6,1,Ramsdale,84.8,87.43,87.43,0.0,87.43,3.23,2.9,4.1,0.0,4.1,14.33,347.09000000000003
16,Defender,3.0,Arsenal,5.1,6.9,0.8625,35,2,720,3,1,0,8,0,3,0,0,0,0.6,4.4,10.8,2,Gabriel,81.37,83.89,83.89,0.0,83.89,3.25,2.93,3.56,0.0,3.62,13.36,333.03999999999996
18,Midfielder,1.3,Arsenal,4.4,1.8,0.8307692307692308,8,1,195,0,0,0,3,0,0,0,0,0,0.3,1.3,0.3,3,Lokonga,26.8,27.63,11.37,0.0,11.37,0.81,0.78,0.37,0.0,0.37,2.33,77.17
19,Midfielder,3.0,Arsenal,6.6,6.5,0.8465991316931983,43,4,691,4,3,2,8,0,3,0,1,0,0.5,5.4,47.0,3,Martinelli,74.59,76.9,76.9,0.0,76.9,4.06,3.66,5.03,0.0,4.78,17.53,305.29
23,Midfielder,0.0,Arsenal,4.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,Nelson,0.26,0.26,0.26,0.0,0.26,0.02,0.02,0.02,0.0,0.02,0.08,1.04
24,Goalkeeper,0.0,Arsenal,3.9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,1,Turner,2.3,2.37,2.37,0.0,2.37,0.08,0.07,0.1,0.0,0.1,0.35,9.41
25,Midfielder,4.0,Arsenal,5.7,2.1,1.6293103448275863,12,1,116,2,1,0,1,0,1,0,0,0,0.7,4.0,0.2,3,Vieira,21.44,22.11,23.68,0.0,23.68,1.44,1.37,1.73,0.0,1.67,6.21,90.91
26,Defender,5.3,Arsenal,4.9,9.2,1.15,45,1,720,9,2,1,8,1,3,0,3,0,1.1,5.6,25.7,2,Saliba,80.11,82.58,82.58,0.0,82.58,2.91,2.65,3.11,0.0,3.21,11.879999999999999,327.84999999999997
